Site,year,Month,DateDay,SumOfKwh,Level,Meter
NBC News Worldwide - Dukes Road,15,Jan,1/1/2015 00:00:00,7897.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Feb,1/2/2015 00:00:00,7133.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Mar,1/3/2015 00:00:00,7897.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Apr,1/4/2015 00:00:00,0.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,May,1/5/2015 00:00:00,7897.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Jun,1/6/2015 00:00:00,7642.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Jul,1/7/2015 00:00:00,8828.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Aug,1/8/2015 00:00:00,8828.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Sep,1/9/2015 00:00:00,8543.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Oct,1/10/2015 00:00:00,8828.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Nov,1/11/2015 00:00:00,9543.00,Building,S23553105
NBC News Worldwide - Dukes Road,15,Dec,1/12/2015 00:00:00,17994.00,Building,S23553105
NBC News Worldwide - Dukes Road,16,Jan,1/1/2016 00:00:00,8425.00,Building,S23553105
NBC News Worldwide - Dukes Road,16,Feb,1/2/2016 00:00:00,7881.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Jan,1/1/2017 00:00:00,8288.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Feb,1/2/2017 00:00:00,11178.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Mar,1/3/2017 00:00:00,8223.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Apr,1/4/2017 00:00:00,7409.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,May,1/5/2017 00:00:00,7563.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Jun,1/6/2017 00:00:00,7603.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Jul,1/7/2017 00:00:00,7482.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Aug,1/8/2017 00:00:00,7081.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Sep,1/9/2017 00:00:00,8570.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Oct,1/10/2017 00:00:00,7895.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Nov,1/11/2017 00:00:00,8518.00,Building,S23553105
NBC News Worldwide - Dukes Road,17,Dec,1/12/2017 00:00:00,11399.00,Building,S23553105
NBC News Worldwide - Dukes Road,18,Jan,1/1/2018 00:00:00,9620.00,Building,S23553105
NBC News Worldwide - Dukes Road,18,Feb,1/2/2018 00:00:00,8734.00,Building,S23553105
NBC News Worldwide - Dukes Road,18,Mar,1/3/2018 00:00:00,9261.00,Building,S23553105
NBC News Worldwide - Dukes Road,18,Apr,1/4/2018 00:00:00,9674.00,Building,S23553105
NBC News Worldwide - Dukes Road,18,May,1/5/2018 00:00:00,8485.00,Building,S23553105
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1818.00,GMez & L1 - NBC CSG,0) GF Core 1 Tenant NE Riser BD/TNEL/1GL
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,2026.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NE Riser BD/TNE1P/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,4812.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,4101.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SE Riser BD/TSE1P/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3156.00,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SW Riser BD/TSW1P/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3180.00,GMez & L1 - NBC CSG,0) L1 Core 2 Tenant N Riser BD/TNW2L/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,3334.00,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,1555.00,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT
NBC Universal - St Giles High Street,17,Apr,1/4/2017 00:00:00,74662.00,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare)
