Site,Level,Meter,DateDay,kWh
7,Building,S23553105,1/5/2017 00:00:00,7563
1,L2 & L3 N,Common Area,1/5/2017 00:00:00,6265
1,L2 & L3 N,0) L2 Core 1 Tenant SE Riser BD/TSE1P/L2,1/5/2017 00:00:00,2209
12,Studio 5.02,E14D00499,1/5/2017 00:00:00,2457
12,Studio 5.03,E14D00493,1/5/2017 00:00:00,4914
1,L2 & L3 N,273) L2 Core 1 Tenant SE Riser BD/TSE1L/L2,1/5/2017 00:00:00,2373
1,GMez & L1 - NBC CSG,282) L1 Core 1 Tenant NE Riser BD/TNE1L/L1,1/5/2017 00:00:00,2781
1,GMez & L1 - NBC CSG,142) A6 LV3 NBC MER I/O Panel (Spare),1/5/2017 00:00:00,87585
1,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__,1/5/2017 00:00:00,2506
1,GMez & L1 - NBC CSG,0) GF Core 1 Tenant NE Riser BD/TNEL/1GL,1/5/2017 00:00:00,1958
1,GMez & L1 - NBC CSG,294) GF Core 1 Tenant SE Riser BD/TSEL/__,1/5/2017 00:00:00,822
1,L2 & L3 N,0) L2 Core 3 Tenant SW Riser BD/TSW2P/L2,1/5/2017 00:00:00,3698
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SW Riser BD/TSW1P/L1,1/5/2017 00:00:00,3695
1,GMez & L1 - NBC CSG,0) L1 Core 2 Tenant N Riser BD/TNW2L/L1,1/5/2017 00:00:00,3240
1,GMez & L1 - NBC CSG,Central (Landlord's) Air Handling,1/5/2017 00:00:00,1827
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NE Riser BD/TNE1P/L1,1/5/2017 00:00:00,2073
1,GMez & L1 - NBC CSG,283) L1 Core 1 Tenant SE Riser BD/TSE1L/L1,1/5/2017 00:00:00,2269
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SE Riser BD/TSE1P/L1,1/5/2017 00:00:00,2492
1,GMez & L1 - NBC CSG,284) L1 Core 3 Tenant SW Riser BD/TSW2L(P)/L1,1/5/2017 00:00:00,2114
1,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1,1/5/2017 00:00:00,3581
1,GMez & L1 - NBC CSG,287) L1 Core 1 Tenant SW Riser BD/TSW1L/L1,1/5/2017 00:00:00,0
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1,1/5/2017 00:00:00,5833
1,Level 10,Central (Landlord's) Misc Plant/Equipment kWh,1/5/2017 00:00:00,1439
1,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10,1/5/2017 00:00:00,1618
1,Level 10,196) L10 Core 1 Tenant SE Riser BD/TSE1L/L10,1/5/2017 00:00:00,1359
1,Level 10,195) L10 Core 1 Tenant NE Riser BD/TNE1L/L10,1/5/2017 00:00:00,1458
1,Level 10,0) L10 Core 2 Tenant N Riser BD/TNW2P/L10 & New,1/5/2017 00:00:00,1617
1,Level 10,0) L10 Core 2 Comms supply & New,1/5/2017 00:00:00,7741
1,Level 10,194) L10 Core 2 Tenant N Riser BD/TNW2L/L10,1/5/2017 00:00:00,3349
1,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT,1/5/2017 00:00:00,1865
1,Level 10,191) L10 Core 1 Tenant NW Riser BD/TNW1L/L10,1/5/2017 00:00:00,1770
1,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment,1/5/2017 00:00:00,2336
1,Level 10,Central (Landlord's) Air Handling kWh,1/5/2017 00:00:00,1005
1,Level 10,Central (Landlord's) Chillers/Pumps kWh:,1/5/2017 00:00:00,5414
1,Level 10,Common Area,1/5/2017 00:00:00,2455
1,GMez & L1 - NBC CSG,Common Area,1/5/2017 00:00:00,4462
1,GMez & L1 - NBC CSG,Central (Landlord's) Chillers/Pumps,1/5/2017 00:00:00,33429
1,GMez & L1 - NBC CSG,281) L1 Core 2 Tenant N Riser BD/TNW2L(P)/L1,1/5/2017 00:00:00,4152
1,Level 10,0) L10 Core 1 Tenant NW Riser BD/TNW1P/L10 & New,1/5/2017 00:00:00,2119
1,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1,1/5/2017 00:00:00,2889
1,GMez & L1 - NBC CSG,282) L1 Core 1 Tenant NE Riser BD/TNE1L/L1,1/6/2017 00:00:00,3369
1,Level 10,0) L10 Core 1 Tenant SW Riser BD/TSW1P/L10 & New,1/6/2017 00:00:00,0
1,GMez & L1 - NBC CSG,293) GF Core 1 Tenant NE Riser BD/TNEL/1PG__,1/6/2017 00:00:00,2786
1,GMez & L1 - NBC CSG,0) GF Core 1 Tenant NE Riser BD/TNEL/1GL,1/6/2017 00:00:00,2296
1,GMez & L1 - NBC CSG,294) GF Core 1 Tenant SE Riser BD/TSEL/__,1/6/2017 00:00:00,863
1,GMez & L1 - NBC CSG,278) L1 Core 1 Tenant NW Riser BD/TNW1L/L1,1/6/2017 00:00:00,3017
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NW Riser BD/TNW1P/L1,1/6/2017 00:00:00,5878
1,GMez & L1 - NBC CSG,131) A17 LV3 Spare DB/B2/IT,1/6/2017 00:00:00,1864
1,GMez & L1 - NBC CSG,0) L1 Core 2 Tenant N Riser BD/TNW2L/L1,1/6/2017 00:00:00,3725
1,GMez & L1 - NBC CSG,Central (Landlord's) Misc Plant/Equipment,1/6/2017 00:00:00,2343
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant NE Riser BD/TNE1P/L1,1/6/2017 00:00:00,3089
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SE Riser BD/TSE1P/L1,1/6/2017 00:00:00,2894
1,GMez & L1 - NBC CSG,0) L1 Core 3 Tenant SW Riser BD/TSW2L/L1,1/6/2017 00:00:00,3560
1,GMez & L1 - NBC CSG,287) L1 Core 1 Tenant SW Riser BD/TSW1L/L1,1/6/2017 00:00:00,6818
1,GMez & L1 - NBC CSG,0) L1 Core 1 Tenant SW Riser BD/TSW1P/L1,1/6/2017 00:00:00,2975
1,Level 10,199) L10 Core 1 Tenant SW Riser BD/TSW1L/L10,1/6/2017 00:00:00,1156
1,GMez & L1 - NBC CSG,281) L1 Core 2 Tenant N Riser BD/TNW2L(P)/L1,1/6/2017 00:00:00,4592
1,Level 10,194) L10 Core 2 Tenant N Riser BD/TNW2L/L10,1/6/2017 00:00:00,1959
12,Studio 5.03,E14D00493,1/6/2017 00:00:00,4468
12,Studio 5.02,E14D00499,1/6/2017 00:00:00,2366
1,Level 10,Common Area,1/6/2017 00:00:00,3213
1,Level 10,Central (Landlord's) Chillers/Pumps kWh:,1/6/2017 00:00:00,6258
1,Level 10,Central (Landlord's) Air Handling kWh,1/6/2017 00:00:00,1667
